"id","phone","country_id","name","ref_company_ids"
"__export__.res_partner_18_e0801cde","'+34 677 888 999","España","Distribuciones del Sur",""
"__export__.res_partner_19_2c9a03e6","'+34 699 111 222","España","Carlos Ruiz",""
"__export__.res_partner_25_526695df","'+34 633 222 111","España","Elena Torres",""
"__export__.res_partner_20_112e89f5","'+34 622 333 444","España","Global Logistics S.L.",""
"__export__.res_partner_24_24ebbe1e","'+34 698 765 432","España","Innovaciones Web",""
"__export__.res_partner_21_8d2737d0","'+34 655 444 333","España","Laura Gómez",""
"__export__.res_partner_17_fd14b372","'+34 644 555 666","España","María Fernández",""
"__export__.res_partner_23_8dbbe6b4","'+34 612 345 678","España","Pedro Sánchez",""
"__export__.res_partner_22_42c45118","'+34 688 777 666","España","Sistemas Avanzados",""
"__export__.res_partner_16_95dca943","'+34 611 222 333","España","Tech Solutions Ibérica",""
